duration;BH_global;BH_Biodentine;BH_Septocaine;BH_Bioroot;BH_Orasooth;BH_Dyclopro
1;0.159886;0.020332;0.169238;0.01897;0.01685;0.011382
2;0.116849;0.013344;0.12079;0.012414;0.011224;0.006994
3;0.093706;0.010698;0.088918;0.010286;0.008544;0.005868
4;0.072922;0.008253;0.064031;0.008306;0.006389;0.004304
5;0.061101;0.00737;0.0509;0.007073;0.005775;0.003649
6;0.054839;0.006666;0.044173;0.00615;0.004996;0.002908
7;0.047717;0.005505;0.036764;0.005524;0.004594;0.002697
8;0.043221;0.004599;0.032276;0.005103;0.004248;0.0027
9;0.041751;0.004962;0.030259;0.005217;0.00414;0.00239
10;0.039197;0.004362;0.028016;0.004764;0.003889;0.002295
11;0.035151;0.003881;0.024045;0.00365;0.003761;0.002207
12;0.035843;0.003942;0.024463;0.004394;0.004132;0.002093
